,precision,recall,f1-score,support
basophil,0.7990196078431373,0.6653061224489796,0.7260579064587973,245.0
eosinophil,0.9611829944547134,0.8710217755443886,0.9138840070298769,597.0
erythroblast,0.8740458015267175,0.7246835443037974,0.7923875432525952,316.0
ig,0.6006749156355455,0.9222797927461139,0.7275204359673024,579.0
lymphocyte,0.7942386831275721,0.7658730158730159,0.7797979797979798,252.0
monocyte,0.9,0.39661016949152544,0.5505882352941176,295.0
neutrophil,0.8399390243902439,0.8649921507064364,0.8522815158546017,637.0
platelet,0.9311740890688259,0.9236947791164659,0.9274193548387096,498.0
accuracy,0.8093009651945013,0.8093009651945013,0.8093009651945013,0.8093009651945013
macro avg,0.8375343895058445,0.7668076687788404,0.7837421223117476,3419.0
weighted avg,0.8359138064017154,0.8093009651945013,0.8069004153267167,3419.0
